Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2002444,10620,Noplūdes meklēšanas aerosols (10620),2000000049182,Piece
2002445,1066587SP,Sildelementa gala slēdzis Frymaster,2000000030609,Piece
2002446,1080,T8 30W 840 Luxline Plus Sy spuldze - ISA Metro (kūkas),2000000162829,Piece
2002447,1098/6,Solenoids 1098/6 18mm,2000005002588,Piece
2002448,11-61415,Sildelements Veke 11-61415,2000005002618,Piece
2002449,110.401,GN 1/1 H-40mm 32.5*53cm metāla 5.1 L,2000000091396,Piece
2002450,110.651,GN 1/1 H-65mm 32.5*53cm metāla 9.2 L,2000000091389,Piece
2002451,11131198220,Elektrods 470Mm,2000000075297,Piece
2002452,11590001,Handy termo uzlīme 58*43 Eco/40 1040 Gab. 1Gab.=0.422Kg,2000000131894,Piece
2002453,11590003,Handy termo uzlīme 58*93 ECO/40 500 gab. 1gab.=0.430kg,2000000131917,Piece
2002454,11590006,Handy termo uzlīmes Endless EKO 58mm*33M R32 1gab.=0.282g,2000000133850,Piece
2002455,11590007,Handy termo uzlīmes EKO 58*88 1gab.=0.430kg,2000000134451,Piece
2002456,11590010,Handy termo uzlīme 58*43 EKO/76 RH9 4000gab. 1gab.=1.686kg,2000000161389,Piece
2002457,11591002,Handy termo uzlīme Lido Ķirsons logo 58*88 500gab. 0.430kg,2000000145167,Piece
2002458,11623255,Iepirkumu ratiņu aizmugurējais ritenis ar gumijas pārklājumu,2000000063300,Piece
2002459,11640356,Stūre Kid Caddie ratiņiem,2000000075440,Piece
2002460,11640456,Kid Caddie ratiņu drošības siksna,2000000080611,Piece
2002461,11660255,Iepirkuma ratiņu ritenis Caddie jaunā tipa,2000000096155,Piece
2002462,11664253,Iepirkumu ratiņu ritenis Caddie priekšējais,2000000051659,Piece
2002463,117100,Vāka blīve Robot Coupe R502/R602,2000000079523,Piece
2002464,117U6005,Palaišanas relejs,2000005002649,Piece
2002465,118324,Stampa CL50D,2000000125701,Piece
2002466,11854753,Iepirkumu ratiņu rokturis ar Rimi Supermarket Logo- jaunais,2000000068084,Piece
2002467,1186990,OR blīvgumīja sarkans silikons,2000000157115,Piece
2002468,1192070,Kafijas padeves konteineri,2000000135823,Piece
2002469,11H0066,Loģikas plate,2000000130484,Piece
2002470,12.00042,Tapa ar skrūvi,2000000128603,Piece
2002471,120012,Motoru aizsardzība SFKOL 16- 20A,2000005000881,Piece
2002472,12010,Sprausla galā uzgrieznis,2000000155753,Piece
2002473,12051,Bukse,2000000161006,Piece
2002474,12136607,Krūzes vāks plastmasas 100gb. 250ml krūzēm (12136607),2000000082578,Package
2002475,12136621,Krūzes vāks plastmasas 100gab. 180ml krūzēm HSL70,2000000093741,Piece
2002476,12136622,Plastmasas maisāmais kociņš 1000gb. art.OTSCG7595L/0.760kg,2000000060958,Piece
2002477,121777,Sliede augšējā 2m Ubert karstajai vitrīnai,2000000065144,Piece
2002478,121778,Sliede Apakšējā 2M Ubert Karstajai Vitrīnai (121778),2000000065151,Piece
2002479,121785,DHT31 operatora stikla durvis kreisās,2000000062006,Piece
2002480,1250245,Atspere,2000000113630,Piece
2002482,12720,Dekoratīvā folija trauk. maš. AT50/PM50E ar sūkni,2000000131474,Piece
2002483,12A4,Kondicionieris AUX AM -12A4/R,2000005002656,Piece
2002484,130714,"Pāreja 7/8 * 3/4"" (F-F)",2000000147970,Piece
2002485,130734,"Pāreja 1.1/8 * 7/8"" (F-F)",2000000147994,Piece
2002486,130736,"Pāreja 1.1/8 * 3/4"" (F-F)",2000000147987,Piece
