Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2000100,13.00058,Atsperplāksne,2000000123998,Piece
"2000101,130716,""Pāreja 7/8 * 5/8"""" (F-F)"",2000000147963,Piece"
"2000103,130900,""Savienojums 5/8"""" (F-F)"",2000000147796,Piece"
"2000105,131672,""Līkums 90 1/2"""" (F-F) Lt"",2000000138213,Piece"
"2000106,131692,""Līkums 90 7/8"""" (F-F) Lt"",2000000147871,Piece"
"2000108,131810,""Līkums 1-pusējs 90"""" 3/4 (M-F)"",2000000149103,Piece"
"2000110,132818,""T-Savienojums 1.1/8"""" (F-F-F)"",2000000147956,Piece"
2000111,14.00454,Skrūve M4X8 Plus5,2000000128566,Piece
2000112,1449689,Silikona caurule D 10*13,2000000116457,Meter
2000115,151014,Ventilators Fb-108-1 120*120*38,2000000069067,Piece
"2000116,1530208,""Ventilātors binam 230V.50Hz IP00, 44W"",2000000083957,Piece"
2000117,15665,Groziņa sliede Adler CF40E,2000000136721,Piece
2000118,165060,Arco leņķa vent.veļ.maš. 1/2*3/4,2000000165387,Piece
2000119,1732120,Q1000 Grila lampa (312165) (5021371),2000000014227,Piece
2000120,180018FAG,Gultnis 608 2RS FFAG,2000000092829,Piece
2000121,180104,Gultnis 6004 2RS,2000000065410,Piece
2000128,182081,Nipelis ar iekš. atsperi,2000000138244,Piece
2000129,185315,Kapilārs 1000 mm/ ar ventili (185315),2000000060125,Piece
2000130,187001,P9B01VN kont.bolks 1NC,2000000074641,Piece
2000131,190.002.12,Tapa 1/4*1 1/2,2000000120713,Piece
2000132,190.006.85,Durvju blīvgumija 650*875mm F3DN,2000000077956,Piece
2000133,196184,Termoplastiskā kapilāra caurule 80000024,2000005001338,Meter
2000134,196197,K-LCP kapilārs 1500mm,2000005001376,Piece
2000136,20058,Presostats 55/20,2000000110578,Piece
2000137,2012,Hidrauliskais ventilis H20PA Talsa,2000000025131,Piece
2000138,2039,Mikroslēdzis H20PA,2000000025148,Piece
2000139,20717,Temperatūras sensors,2000000151595,Piece
2000140,22.26.040,Ritenis apakš. 5.6*9mm niķelis,2000000118086,Piece
2000142,235019/066,Termoreg.vārsts TER/A4 R22,2000005002762,Piece
2000143,23928,Swibo Miesnieka nazis 28 cm lielais,7611640011054,Piece
"2000144,24425,""Swibo Nazis ar robotu asmeni 25 cm (elastīgs,apaļš gals)"",7611640011160,Piece"
2000145,248216,Swibo Zivju nazis 16cm,2000000095004,Piece
2000146,262164,Savilču turētājs 7.8mm (100gab),2000005002786,Piece
2000147,27059,Vitrīnas augšējais vāks ET70,2000000134352,Piece
2000148,273200,Purity C600 filtra kartridžs,2000000103174,Piece
2000149,28051,Kubiņu rīve 2X2 CL 50,2000000084619,Piece
2000150,28059,Rīves disks 5mm CL50/55/60,2000000061825,Piece
2000151,28065,Griezēj disks 5mm CL50/55/60,2000000061832,Piece
2000152,28135,Kartupeļu frī disks 10*10 CL50/CL60,2000000151601,Piece
2000153,29064,Produkta piespiedēja vadīklis Robot Coupe CL50,2000000162867,Piece
2000154,29066,Vaika aizslēgs,2000000102535,Piece
2000155,29564,Šķēlētāja diska asmens Cl50,2000000129266,Piece
2000156,29779,Nazis C2,2000000128900,Piece
2000157,30000012,Cauruļu savienojums,2000000145228,Piece
"2000158,3010.01.002,""Soehnle 3010 svaru termināls , statīvs, IP65"",2000000046624,Piece"
2000159,3016288,Termostats Ego 50-300C,2000000159249,Piece
2000160,30185160,Papīra krūze Brun/Vit SP8/215 200ml 100gab/0.468kg,2000000120409,Piece
2000161,3020111,Blīvējums D.4mm caurulei,2000000102689,Piece
2000162,304368,Slīdošais H profils 2m Ubert karstajai vitrīnai,2000000101149,Piece
2000164,3050232,Spraudnis 10A250V,2000000138206,Piece
2000165,3051010,Karstumizturīgā vada uzgalis 100 gab.,2000000110936,Piece
2000166,3053269,Eņģe Hackman saldētavai,2000000137247,Piece
2000167,3053541,Enģe,2000000165035,Piece
2000169,3060129,Gaisa kameras komplekts jaunā tipa,2000000124315,Piece
2000170,30CWCHN135,A vāks gn 1/3 ar rokturi un karotes vietu,2000000099118,Piece
2000172,30Z1459,Mikroslēdzis V15T22-CZ300A59,2000000137995,Piece
2000173,3100TNK,Saldēšanas galds 3100TN,2000005002816,Piece
2000174,3114S,Motors dārzeņu rīvei CL50D 230/50/1,2000000147109,Piece
"2000175,3120005,""Solenoīda vārsts Elbi 180"""""",2000000157610,Piece"
2000176,3120405,Solenoida vārsts 230V D.10.5mm,2000000130354,Piece
2000177,3122365,Gumijas blīve 02475 EPDM,2000000163574,Piece
2000179,3123096,Ventilātora stiprinājums CF24,2000000099729,Piece
2000180,315645,Filtra kartridžs Purity 1200,2000000050539,Piece
2000181,3160615,Gumijas blīve 0201 EPDM,2000000163567,Piece
2000182,3185972,Reste ar pārklājumu GN 2/1 650*53mm,2000000103761,Piece
2000183,3186265,Blīvgumija D.32*3mm,2000000136134,Piece
2000184,3186533,Blīvgumija 775*465mm,2000000131337,Piece
2000185,31Z0328,Kontaktu panelis/3,2000000133645,Piece
2000186,31Z4037,Skrūve M5 katalizatora turētājam,2000000133638,Piece
"2000187,32/A-133,""KT LM32A spriegotājs, liekts"",2000000014579,Piece"
2000188,3200522,Āderuzgalis 2.5/8mm (100gab),2000000166872,Piece
2000190,3201NR1178TYP1178,CEE PM ligzda 16A3P 6H230V IP44,2000000049700,Piece
2000191,3201NR2TYP2,CEE ligzda 32A5P 6H400V IP44,2000000072531,Piece
"2000192,3202NR14ATYP14A,""CEE spraudnis, IP44 32A 5P 400 V"",2000000109916,Piece"
"2000193,3203NR16ATYP16A,""CEE pagarinātājligzda Pro Top, IP44 32A 400V"",2000000047102,Piece"
2000194,3221061,Lampa krāsnij E14 25W 230V Garbin,2000000124353,Piece
2000195,3221097,Indikātora spuldze 22V,2000000155333,Piece
2000196,3221251,Lampa krāsnij T10 2W 24V,2000000157566,Piece
2000197,3240515,Ventilātors EBM 80*80*38mm,2000000130811,Piece
2000198,3242312,Krāsns durvju roktura mēlīte,2000000125145,Piece
2000200,3243607,Sprauslu uzgrieznis,2000000124919,Piece
2000201,3243866,Uzgrieznis priekš turētāja RV81,2000000100708,Piece
2000202,3243976,Turētājs skalošanas rokai,2000000100654,Piece
2000203,3250070,Durvju trosīte 470mm trauku mašīnai,2000000124872,Piece
2000204,3311100,Sildriņķis D. 220mm 2600W 230V,2000000096308,Piece
2000205,3319150,Slēdzis 16A 250V Melns,2000000138473,Piece
2000206,3319304,Slēdzis 16A 250V,2000000102030,Piece
2000207,3319481,Pogu slēdžu turētājs ovāls,2000000098593,Piece
2000208,3319617,Dubultslēdzis eletrobāra trauku mazg.maš. 16A 250V,2000000096995,Piece
2000209,3320113,Boilera spiedienu slēdzis 1.5-4 BAR,2000000149530,Piece
2000210,3340049,Ventilātora Ebm Komunikācijas Kārba,2000000127491,Piece
2000211,3340139,Motors 9637/62683 55W 230/400V 50/60Hz,2000000143385,Piece
2000212,3340177,Kondensātors 6.3MF ar kabeli,2000000140063,Piece
2000213,3341042,Boilera ūdens līmeņa devējs,2000000151182,Piece
2000214,3346027,Rullītis,2000000124896,Piece
2000215,3351016,Relejs crydom SOB667330 Metos,2000000109152,Piece
2000216,3351602,Relejs 65.31 30A 250V,2000000099170,Piece
2000218,3355336,Silikona sildelements 1000W 240V,2000000158075,Piece
2000219,3359144,Dušas panelis CPC,2000000104928,Piece
2000220,3390014,Zanusi vadības plate,2000000101965,Piece
2000221,3390088,Mikroprocesors Niagar,2000000108421,Piece
2000222,3390310,Vadības plate SCC101 340*130mm,2000000123059,Piece
2000223,3390380,Releju plate SU Metos,2000000101071,Piece
2000224,340328,IS sildelements Ubert DSHST31-71 300W,2000000048765,Piece
2000226,340821,Vadības plate UUSO Ver 2,2000000025858,Piece
2000227,342221,Temperatūras drošības slēdzis Ubert,2000000014807,Piece
2000228,3445412,Vadības bloks XR44CX-0N0C8,2000000131870,Piece
"2000229,3449017,""Veļas mašinas ūdens pievads D.13mm, 150cm"",2000000102726,Piece"
2000230,358675,Drošinātājs 5*20mm,2000000060361,Piece
2000231,37.0079,Kafijas izejas vāks,2000000142500,Piece
2000232,37.00803,Kafijas trauka vārsts Plus5,2000000128610,Piece
2000233,37.00814,Kakao trauka zobrata noslēdze,2000000142470,Piece
2000234,370243,ISI gourmet profi 1L pulēts,2000000031613,Piece
2000235,37047,Gumijas kabelis H07RN 4*4mm2,2000000138121,Piece
2000237,3355707,Sildelements 9000W 230V,2000000099132,Piece
2000238,3786021,Blīvgumija krāsnij 1475*475mm,2000000152547,Piece
2000239,38004696000,Bukse 1415 DP4,2000000160689,Piece
2000241,38009693000,Šķēlētāja vāka blīve,2000000108278,Piece
2000242,380130,Kondensators 5MF,2000000015033,Piece
2000243,38027106000,Silicona rullīts Ecomotium,2000000148175,Piece
2000244,38029678000,Iztumšanas rullīts,2000000148182,Piece
2000245,38031501000,Kājiņa Bizerba Higēniskai Platformai,2000000116044,Piece
2000246,38035036000,Drukas rullītis KH svariem (38035036000),2000000155265,Piece
2000247,384.523,Lampiņa (sarkana) 230V,2100000013425,Piece
2000248,384.576,Kūstošie drošinātāji 182C,2100000012756,Piece
2000249,384.993,Spuldze 40W BIS300 C,2000000082202,Piece
2000250,39197,Blīvslēgs ar stiprinājumu Robot Coupe CL50F,2000000042039,Piece
"2000251,4.K1.055.00,""Apaļā siksna oranža 5mm, Infeed"",2000000021997,Meter"
"2000252,4.K1.06C.00,""Siksna balta L=25M, Infeed"",2000000021959,Meter"
2000253,4000272,Pretvibrators 18mm1258-FX,2000005001987,Piece
2000255,402900,Potenciometrs 10KOHM ass 51mm M10*0.75 shaft,2000000084114,Piece
2000256,40510400159,Piespiedatspere,2000000127248,Piece
2000257,40530203400,Amortizātors,- None -,Piece
2000259,40950000176,Ota ar tīrītāju,2000000155647,Piece
2000260,4115616,Kubiņu disks Metos RG-50/100/ 200/250/10*10mm,2000000140148,Piece
"2000261,415466,""Sildelements 6Kw 230V, 70*18mm"",2000000068718,Piece"
2000262,417075,Sildelements 2500W 230V,2000000064635,Piece
2000263,417320,Sildelements 2160W 230V,2000000066035,Piece
2000264,4.185E+11,Dernāžas sildelements ISA,2000000162737,Piece
2000265,421062,Priekšējais stikls RT507 ārējais,2000000023441,Piece
2000266,4214719,Skalošanas tabletes SCC 50 gab,2000000047034,Piece
2000267,42391500,Skrūve,2000000116983,Piece
2000268,430201022200,Plaukta turētājs (kreisais) ISA,2000000162768,Piece
2000269,436508136000,Dekoratīvā mala Expo 56,2000000140742,Piece
2000270,44-0000-313,Žņaugs Q=15.7,2000000066547,Piece
2000271,442307347000,Polikarbonāta vāks ISA Expo56,2000000131832,Piece
2000272,44540803,Loģistikas rati Modulo 8,2000000084022,Piece
2000273,448100383000,Sānu Stikls ISA LH Metro,2000000093734,Piece
"2000274,460196,""Manometrs D63 6 ATM 1/4"""""""""",2000005001543,Piece"
2000275,49160,Kutera nazis Robot Coupe R6 apakšējais,2000000069050,Piece
2000277,5.8421.16,Swibo ādas noņemšanas nazis 16cm puselastīgs,2000000071381,Piece
2000278,5.8435.26,Swibo Miesnieka Nazis 26Cm V.K. 23526,2000000131801,Piece
